meal_id,actual_id,recipes,ingredients,methods,image,average_rating
0,5d64e249a79b5707d353cb4d,"cá thu chiên mắm ngọt,mực xào bầu,canh tập tàng nấu tôm",|||,|||,http://media.sao247.com/news/2016/12/19/11.PNG,5.0
1,5d64e24aa79b5707d353cb4e,"thịt gà luộc chấm mắm,rau muống luộc,rau bí xào tỏi",|||,|||,https://cdn.eva.vn/upload/3-2018/images/2018-07-18/9x-khoe-mam-com-4-nguoi-don-gian-nhung-bat-mat-khien-chong-khuyen-di-thi-vua-dau-bep-2-1531907293-26-width960height960.jpg,4.83
2,5d64e24aa79b5707d353cb4f,,,,https://cdn.eva.vn/upload/3-2018/images/2018-07-18/9x-khoe-mam-com-4-nguoi-don-gian-nhung-bat-mat-khien-chong-khuyen-di-thi-vua-dau-bep-20-1531907294-384-width960height720.jpg,0.0
3,5d64e24aa79b5707d353cb50,"thịt vịt/gà quay,canh chua,trứng chiên,dưa chuột trộn",||||,||||,https://cdn.eva.vn/upload/3-2018/images/2018-07-18/9x-khoe-mam-com-4-nguoi-don-gian-nhung-bat-mat-khien-chong-khuyen-di-thi-vua-dau-bep-1-1531907293-171-width960height720.jpg,4.72
4,5d64e24aa79b5707d353cb51,,,,https://znews-photo.zadn.vn/w960/Uploaded/jaroin/2018_06_15/com_7.jpg,0.0
5,5d64e24aa79b5707d353cb52,,,,https://cdn.eva.vn/upload/3-2018/images/2018-07-18/9x-khoe-mam-com-4-nguoi-don-gian-nhung-bat-mat-khien-chong-khuyen-di-thi-vua-dau-bep-19-1531907294-260-width960height720.jpg,0.0
6,5d64e24aa79b5707d353cb53,"thịt xiên nướng,đậu hũ chiên giòn,rau bí xào tỏi",|||,|||,https://cdn.eva.vn//upload/2-2015/images/2015-06-12/1434095666-11420169_470768229758961_1756024660_o.jpg,4.31
7,5d64e24aa79b5707d353cb54,"canh sườn nấu chua,đậu hũ sốt cà,rau muống luộc ăn kèm cà pháo,tép khô xào hành, khế",||||,||||,http://samtuoingoclinh.com/uploads/am-thuc/2015_07/mam-com-gia-dinh.jpg,4.35
8,5d64e24aa79b5707d353cb55,"đậu hũ chiên trứng,rau củ luộc chấm kho quẹt,canh chua nấu tôm",|||,|||,https://cdn.eva.vn//upload/2-2015/images/2015-05-12/1431421113-image1.jpg,4.52
9,5d64e24ba79b5707d353cb56,"mực xào chua ngọt,sườn non ram mặn,canh khổ qua nấu với thịt viên",|||,|||,http://media.sao247.com/news/2016/12/19/1532748513731718427013192637696418446992395n.jpg,5.0
10,5d64e24ba79b5707d353cb57,,,,https://znews-photo.zadn.vn/w960/Uploaded/jaroin/2018_06_15/banh_mi.jpg,0.0
11,5d64e24ba79b5707d353cb58,"gà xào sả ớt,thịt bò xào cải xanh,canh chua tôm",|||,|||,http://media.sao247.com/news/2016/12/19/15.PNG,4.42
12,5d64e24ba79b5707d353cb59,"canh bí nhồi thịt,cá om dưa cải,khổ qua xào trứng",|||,|||,https://znews-photo.zadn.vn/w960/Uploaded/jaroin/2018_06_15/com_9.jpg,5.0
13,5d3087584d1d11b137160463,"canh mướp đắng nhồi thịt,salad rau,thịt ba chỉ luộc,ốc móng tay xào",||||,||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-1.png,5.0
